"[40, 60, 30, 30, 10]","[10, 10, 10, 10, 10]"
"[50, 50, 0, 70, 100]","[10, 10, 10, 10, 10]"
"[40, 20, 50, 0, 20]","[10, 10, 10, 10, 10]"
"[80, 80, 90, 20, 0]","[10, 10, 10, 10, 10]"
"[0, 10, 80, 80, 0]","[10, 10, 10, 10, 10]"
"[10, 10, 80, 20, 20]","[10, 10, 10, 10, 10]"
"[20, 30, 30, 80, 70]","[10, 10, 10, 10, 10]"
"[90, 100, 20, 90, 70]","[10, 10, 10, 10, 10]"
"[100, 70, 10, 100, 70]","[10, 10, 10, 10, 10]"
"[10, 10, 50, 40, 70]","[10, 10, 10, 10, 10]"
"[0, 0, 10, 70, 50]","[10, 10, 10, 10, 10]"
"[50, 0, 50, 50, 10]","[10, 10, 10, 10, 10]"
"[10, 20, 80, 60, 90]","[10, 10, 10, 10, 10]"
"[30, 40, 80, 90, 30]","[10, 10, 10, 10, 10]"
"[100, 70, 10, 100, 0]","[10, 10, 10, 10, 10]"
"[20, 30, 70, 20, 80]","[10, 10, 10, 10, 10]"
"[50, 80, 100, 20, 100]","[10, 10, 10, 10, 10]"
"[30, 100, 90, 80, 30]","[10, 10, 10, 10, 10]"
"[40, 40, 30, 10, 40]","[10, 10, 10, 10, 10]"
"[10, 30, 100, 100, 100]","[10, 10, 10, 10, 10]"
"[70, 60, 80, 0, 20]","[10, 10, 10, 10, 10]"
"[50, 10, 70, 10, 70]","[10, 10, 10, 10, 10]"
"[10, 80, 10, 20, 30]","[10, 10, 10, 10, 10]"
"[80, 50, 90, 50, 100]","[10, 10, 10, 10, 10]"
"[60, 50, 70, 10, 40]","[10, 10, 10, 10, 10]"
"[50, 60, 60, 30, 60]","[10, 10, 10, 10, 10]"
"[70, 10, 40, 100, 70]","[10, 10, 10, 10, 10]"
"[70, 20, 100, 40, 60]","[10, 10, 10, 10, 10]"
"[60, 40, 80, 20, 30]","[10, 10, 10, 10, 10]"
"[50, 90, 40, 0, 20]","[10, 10, 10, 10, 10]"
"[30, 60, 80, 50, 60]","[10, 10, 10, 10, 10]"
"[60, 80, 100, 20, 50]","[10, 10, 10, 10, 10]"
"[40, 90, 20, 90, 0]","[10, 10, 10, 10, 10]"
"[0, 80, 40, 0, 0]","[10, 10, 10, 10, 10]"
"[0, 0, 0, 40, 20]","[10, 10, 10, 10, 10]"
"[100, 30, 40, 70, 70]","[10, 10, 10, 10, 10]"
"[80, 90, 40, 30, 60]","[10, 10, 10, 10, 10]"
"[10, 20, 30, 70, 0]","[10, 10, 10, 10, 10]"
"[70, 10, 40, 30, 70]","[10, 10, 10, 10, 10]"
"[30, 0, 20, 30, 80]","[10, 10, 10, 10, 10]"
"[90, 10, 10, 90, 50]","[10, 10, 10, 10, 10]"
"[50, 10, 70, 70, 30]","[10, 10, 10, 10, 10]"
"[80, 40, 0, 0, 80]","[10, 10, 10, 10, 10]"
"[30, 70, 80, 30, 100]","[10, 10, 10, 10, 10]"
"[40, 30, 40, 30, 0]","[10, 10, 10, 10, 10]"
"[80, 80, 80, 70, 40]","[10, 10, 10, 10, 10]"
"[30, 100, 30, 90, 50]","[10, 10, 10, 10, 10]"
"[20, 100, 80, 50, 60]","[10, 10, 10, 10, 10]"
"[80, 20, 0, 20, 80]","[10, 10, 10, 10, 10]"
"[30, 30, 70, 20, 60]","[10, 10, 10, 10, 10]"
"[0, 50, 50, 40, 0]","[10, 10, 10, 10, 10]"
"[20, 10, 10, 20, 90]","[10, 10, 10, 10, 10]"
"[10, 50, 20, 20, 60]","[10, 10, 10, 10, 10]"
"[0, 0, 10, 10, 30]","[10, 10, 10, 10, 10]"
"[100, 0, 100, 60, 80]","[10, 10, 10, 10, 10]"
"[50, 100, 90, 50, 50]","[10, 10, 10, 10, 10]"
"[30, 0, 100, 60, 0]","[10, 10, 10, 10, 10]"
"[60, 70, 50, 10, 30]","[10, 10, 10, 10, 10]"
"[20, 20, 10, 10, 90]","[10, 10, 10, 10, 10]"
"[20, 40, 40, 0, 10]","[10, 10, 10, 10, 10]"
"[40, 60, 50, 50, 90]","[10, 10, 10, 10, 10]"
"[70, 20, 90, 30, 20]","[10, 10, 10, 10, 10]"
"[10, 80, 20, 80, 40]","[10, 10, 10, 10, 10]"
"[70, 20, 60, 0, 90]","[10, 10, 10, 10, 10]"
"[90, 70, 0, 10, 10]","[10, 10, 10, 10, 10]"
